loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status
Education Loan,88958,0.085462104,29,Full-time,Low,596,Female,Married,PhD,0
Home Loan,10865,0.080107677,41,Full-time,Low,341,Male,Married,PhD,0
Home Loan,3219,0.048702835,24,Part-time,Low,578,Male,Divorced,Master,1
Home Loan,40809,0.082407344,35,Self-employed,High,758,Male,Married,PhD,0
Personal Loan,6287,0.113187966,41,Self-employed,High,332,Male,Married,Master,0
Home Loan,35387,0.074599411,13,Full-time,Medium,575,Male,Married,Bachelor,0
Car Loan,9512,0.069078844,30,Part-time,Low,389,Female,Single,High School,0
Personal Loan,2342,0.085600228,58,Part-time,High,823,Female,Married,Master,0
Home Loan,64076,0.084685673,55,Full-time,Low,459,Male,Divorced,Master,0
Personal Loan,20216,0.097891027,58,Part-time,Medium,757,Male,Divorced,Bachelor,1
Personal Loan,94070,0.061131978,36,Self-employed,Low,698,Male,Married,PhD,0
Education Loan,80767,0.090970704,25,Full-time,High,390,Male,Divorced,Master,0
Personal Loan,98829,0.088856331,17,Part-time,High,765,Female,Divorced,PhD,0
Personal Loan,27614,0.077867802,23,Part-time,Low,519,Male,Married,Master,0
Education Loan,37258,0.08508031,31,Part-time,Low,718,Female,Single,PhD,0
Home Loan,94789,0.095441862,34,Full-time,Low,678,Female,Married,Master,0
Car Loan,43078,0.093084731,41,Self-employed,Low,746,Male,Divorced,High School,0
Personal Loan,84524,0.06285471,41,Part-time,Low,445,Female,Divorced,High School,0
Car Loan,97573,0.092302373,49,Full-time,Low,532,Male,Married,High School,0
Personal Loan,13219,0.079029671,41,Full-time,Medium,670,Male,Divorced,Master,0
Car Loan,1235,0.081093111,52,Part-time,Medium,533,Female,Single,PhD,0
Education Loan,43929,0.081097955,41,Full-time,High,666,Male,Married,Bachelor,0
Personal Loan,68444,0.077746355,47,Self-employed,Low,780,Male,Divorced,Bachelor,1
Personal Loan,9567,0.097875612,45,Self-employed,Medium,662,Female,Single,Bachelor,1
Home Loan,71792,0.078744231,27,Full-time,Low,810,Female,Divorced,High School,0
Home Loan,66441,0.063206808,35,Part-time,High,394,Female,Single,High School,0
Personal Loan,85555,0.074097052,25,Self-employed,Medium,515,Male,Divorced,High School,1
Education Loan,74698,0.082680421,37,Part-time,Low,842,Female,Married,PhD,0
Car Loan,6415,0.098438222,19,Full-time,Low,434,Female,Divorced,High School,0
Home Loan,37159,0.08904642,25,Self-employed,Low,382,Female,Married,PhD,0
Home Loan,44925,0.067241971,42,Part-time,Low,690,Female,Single,PhD,1
Home Loan,6951,0.117277849,13,Full-time,Low,346,Male,Single,PhD,0
Home Loan,88388,0.08397163,59,Part-time,Low,691,Female,Divorced,Master,0
Education Loan,9007,0.099130861,15,Self-employed,High,684,Female,Married,Bachelor,0
Personal Loan,42832,0.077724283,12,Full-time,Low,680,Male,Married,PhD,1
Car Loan,59596,0.088000389,31,Full-time,Low,376,Female,Single,Bachelor,0
Home Loan,31523,0.092592028,25,Part-time,Medium,558,Female,Single,PhD,0
Education Loan,89861,0.098272921,51,Part-time,Low,698,Male,Divorced,PhD,0
Education Loan,87740,0.095860525,36,Full-time,Low,399,Male,Single,High School,1
Home Loan,16524,0.093082955,36,Self-employed,Medium,800,Male,Single,Bachelor,0
Car Loan,20282,0.075273699,14,Self-employed,Medium,682,Male,Married,PhD,1
Home Loan,24930,0.071423809,16,Part-time,Low,491,Male,Married,Bachelor,1
Education Loan,1077,0.084989113,49,Part-time,High,644,Female,Married,High School,0
Car Loan,21611,0.093996921,37,Part-time,Medium,309,Female,Single,PhD,0
Education Loan,17984,0.076659189,51,Self-employed,Medium,563,Female,Divorced,High School,0
Personal Loan,15060,0.095977579,49,Self-employed,Low,567,Female,Divorced,PhD,0
Education Loan,83985,0.101789251,49,Part-time,Medium,494,Male,Single,High School,0
Home Loan,85056,0.066255186,15,Part-time,Low,706,Male,Divorced,High School,1
Car Loan,44303,0.067446189,18,Full-time,High,595,Male,Single,Master,0
Home Loan,60207,0.077894374,41,Full-time,High,396,Female,Divorced,PhD,0
Personal Loan,76046,0.08461419,41,Full-time,Low,761,Male,Single,PhD,0
Car Loan,30287,0.072131495,30,Full-time,High,386,Male,Married,PhD,1
Car Loan,94709,0.10028304,50,Part-time,Low,376,Female,Divorced,Bachelor,0
Car Loan,40711,0.086361003,46,Self-employed,Medium,782,Male,Married,Master,1
Education Loan,12954,0.080591706,51,Self-employed,Medium,445,Male,Married,Bachelor,0
Home Loan,74340,0.058461357,44,Full-time,Low,410,Female,Divorced,PhD,1
Car Loan,73101,0.060262763,44,Self-employed,Low,596,Female,Single,Master,1
Car Loan,72520,0.084215139,25,Full-time,Medium,725,Male,Married,High School,0
Car Loan,88062,0.048011066,49,Part-time,Low,633,Female,Married,Master,0
Personal Loan,19574,0.095189561,21,Full-time,Medium,822,Male,Single,High School,0
Car Loan,10184,0.077627692,39,Self-employed,Low,837,Female,Single,PhD,0
Education Loan,20096,0.128646395,25,Self-employed,Medium,461,Female,Divorced,PhD,1
Education Loan,68728,0.114618744,47,Self-employed,High,729,Female,Divorced,High School,0
Car Loan,35016,0.077278264,49,Part-time,High,368,Female,Single,Master,0
Education Loan,12246,0.078404945,27,Full-time,Medium,432,Male,Married,Bachelor,1
Education Loan,46558,0.094933723,32,Part-time,Medium,488,Male,Single,Master,0
Car Loan,19381,0.105547589,39,Part-time,Medium,578,Male,Divorced,High School,1
Education Loan,37455,0.055429564,44,Full-time,Medium,729,Female,Married,High School,0
Personal Loan,93263,0.053204368,17,Self-employed,Medium,841,Male,Married,Bachelor,1
Car Loan,5018,0.070669478,52,Self-employed,High,460,Female,Divorced,Bachelor,1
Home Loan,12302,0.088741064,26,Self-employed,Medium,752,Male,Married,Bachelor,1
Education Loan,68506,0.087453104,55,Self-employed,Low,469,Female,Single,High School,0
Car Loan,42157,0.096046572,14,Part-time,High,356,Female,Divorced,PhD,0
Home Loan,55917,0.062004537,54,Full-time,Medium,539,Female,Married,Master,0
Personal Loan,93738,0.045257842,58,Full-time,Low,657,Male,Divorced,Bachelor,1
Personal Loan,97646,0.092870213,46,Full-time,High,500,Male,Married,High School,1
Car Loan,84122,0.067577056,25,Part-time,Low,743,Male,Single,Master,1
Car Loan,25519,0.049722682,13,Self-employed,Medium,601,Male,Divorced,Bachelor,0
Personal Loan,97809,0.082175956,40,Self-employed,Low,405,Female,Married,PhD,0
Personal Loan,88487,0.091897635,15,Full-time,Low,400,Female,Single,Master,0
Personal Loan,57819,0.078169143,37,Self-employed,High,396,Female,Single,Master,0
Home Loan,81910,0.073132274,23,Part-time,Low,328,Female,Single,High School,0
Home Loan,72324,0.077609567,13,Self-employed,Low,805,Male,Married,High School,1
Car Loan,6408,0.074441259,28,Self-employed,High,737,Male,Married,High School,0
Home Loan,60379,0.059779293,46,Self-employed,Medium,678,Female,Single,PhD,0
Education Loan,26053,0.06927979,21,Full-time,Low,372,Male,Single,Master,0
Personal Loan,10446,0.087819199,59,Part-time,Medium,553,Female,Single,Bachelor,0
Car Loan,1922,0.084825178,33,Full-time,High,815,Female,Single,PhD,0
Home Loan,99723,0.082520897,52,Part-time,Medium,849,Female,Single,Bachelor,0
Car Loan,52356,0.065072773,54,Full-time,Low,319,Male,Married,Bachelor,1
Home Loan,11789,0.077277453,32,Part-time,Low,834,Female,Divorced,High School,0
Car Loan,98720,0.047344024,26,Part-time,Medium,720,Male,Divorced,Bachelor,0
Personal Loan,67656,0.08267715,46,Full-time,Medium,745,Female,Divorced,Bachelor,1
Personal Loan,45028,0.101432866,59,Full-time,Low,435,Male,Married,PhD,0
Personal Loan,65484,0.057888018,32,Self-employed,High,804,Male,Divorced,High School,0
Home Loan,33154,0.071211085,32,Part-time,Low,600,Female,Divorced,Bachelor,0
Car Loan,83870,0.084936602,32,Part-time,Low,332,Female,Divorced,Bachelor,1
Car Loan,3336,0.09879264,55,Part-time,Medium,577,Male,Divorced,Bachelor,0
Car Loan,68779,0.073276631,43,Part-time,Low,432,Male,Single,Master,0
Education Loan,20029,0.069616245,16,Part-time,Medium,826,Male,Married,Master,0
Home Loan,60201,0.050466153,50,Self-employed,High,425,Female,Divorced,High School,0
Personal Loan,33265,0.081551572,20,Self-employed,Low,644,Female,Single,PhD,1
Personal Loan,44872,0.110631141,29,Self-employed,High,316,Male,Divorced,High School,0
Car Loan,47197,0.084160377,32,Part-time,High,677,Male,Divorced,Master,0
Car Loan,56180,0.079665815,19,Full-time,Low,359,Male,Divorced,High School,0
Education Loan,24710,0.084831235,55,Full-time,Medium,766,Female,Divorced,PhD,0
Home Loan,30486,0.07983362,45,Part-time,Medium,690,Female,Divorced,High School,0
Car Loan,72907,0.067804784,21,Self-employed,Low,486,Male,Single,Bachelor,0
Car Loan,72895,0.092349199,52,Full-time,Medium,797,Male,Divorced,PhD,0
Home Loan,65435,0.083386423,35,Full-time,Medium,660,Female,Single,PhD,0
Car Loan,41631,0.080264199,51,Self-employed,High,748,Female,Divorced,PhD,1
Personal Loan,21103,0.06536951,35,Part-time,Medium,480,Male,Married,High School,1
Home Loan,65772,0.099552619,43,Part-time,Medium,429,Male,Single,High School,0
Personal Loan,15382,0.089970541,44,Part-time,Low,448,Male,Divorced,Bachelor,0
Education Loan,85291,0.071706187,49,Part-time,High,771,Female,Single,PhD,1
Car Loan,4756,0.095027373,55,Part-time,Medium,799,Male,Divorced,Bachelor,1
Car Loan,21609,0.072536437,45,Full-time,Low,654,Male,Divorced,PhD,0
Home Loan,17478,0.068269948,22,Self-employed,Medium,510,Male,Single,Master,1
Education Loan,40666,0.068604453,42,Full-time,High,329,Female,Divorced,High School,0
Home Loan,76683,0.053433972,29,Full-time,High,323,Female,Divorced,Bachelor,0
Education Loan,72315,0.087073136,34,Full-time,High,521,Female,Divorced,High School,0
Home Loan,78834,0.052532827,33,Self-employed,High,700,Male,Divorced,High School,1
Home Loan,15153,0.061573343,54,Full-time,High,811,Female,Divorced,Master,0
Car Loan,77325,0.04886618,29,Full-time,High,387,Female,Divorced,Master,0
Car Loan,13999,0.078708955,51,Part-time,Low,764,Female,Single,PhD,0
Education Loan,56318,0.077745193,58,Self-employed,High,349,Female,Married,Master,0
Personal Loan,1814,0.075099557,52,Part-time,Medium,402,Female,Divorced,PhD,0
Personal Loan,77077,0.064361335,58,Part-time,Medium,667,Male,Single,Master,0
Home Loan,91474,0.062416494,50,Full-time,Medium,791,Male,Married,Master,1
Car Loan,3443,0.086965548,31,Part-time,Medium,567,Male,Single,Bachelor,0
Home Loan,76993,0.071741721,24,Full-time,High,696,Male,Married,Master,0
Education Loan,76916,0.084745375,56,Part-time,High,619,Male,Married,Bachelor,0
Home Loan,74319,0.06672127,12,Self-employed,Low,819,Female,Married,Master,0
Home Loan,18368,0.082715941,15,Self-employed,High,748,Female,Single,Bachelor,1
Home Loan,16328,0.099549171,35,Part-time,Medium,775,Male,Married,High School,0
Education Loan,57942,0.088792487,47,Full-time,Low,539,Female,Divorced,PhD,0
Education Loan,92751,0.073813793,47,Full-time,Low,557,Male,Divorced,Master,0
Home Loan,28306,0.083857985,56,Full-time,Low,689,Male,Married,Bachelor,0
Car Loan,86451,0.076390022,13,Part-time,Low,642,Female,Married,Master,0
Education Loan,40915,0.080118203,39,Full-time,High,686,Male,Divorced,Bachelor,0
Personal Loan,38219,0.075115834,37,Part-time,Low,693,Female,Single,Bachelor,1
Home Loan,81879,0.077534972,34,Self-employed,High,569,Male,Single,Master,1
Car Loan,65644,0.0831814,26,Full-time,Low,448,Female,Divorced,PhD,0
Education Loan,61279,0.06509962,47,Part-time,High,679,Female,Single,Bachelor,0
Home Loan,54028,0.064761818,38,Full-time,High,327,Female,Single,High School,1
Car Loan,1126,0.059171862,17,Part-time,Medium,448,Female,Married,Master,0
Personal Loan,53329,0.055995933,46,Full-time,High,719,Female,Single,High School,0
Education Loan,28632,0.06174076,50,Self-employed,Low,579,Female,Divorced,Bachelor,0
Education Loan,66310,0.082391938,49,Part-time,Low,481,Male,Single,Bachelor,1
Personal Loan,56176,0.066608187,46,Part-time,High,465,Male,Married,Master,0
Education Loan,87066,0.087704217,47,Self-employed,High,316,Female,Divorced,PhD,0
Car Loan,45327,0.080520706,21,Self-employed,High,449,Female,Divorced,High School,0
Education Loan,69904,0.050472437,41,Full-time,High,638,Male,Divorced,PhD,0
Home Loan,4797,0.089824634,52,Part-time,Medium,344,Male,Married,High School,0
Personal Loan,48882,0.09216198,49,Part-time,Medium,801,Male,Divorced,PhD,0
Home Loan,14718,0.06509206,40,Full-time,Medium,488,Male,Married,Master,0
Education Loan,35560,0.086302873,54,Full-time,Medium,360,Male,Married,High School,0
Home Loan,77589,0.067152526,50,Part-time,Medium,593,Female,Single,Master,0
Car Loan,23116,0.081465056,15,Self-employed,High,332,Male,Divorced,PhD,1
Home Loan,37244,0.061032524,16,Full-time,Medium,598,Male,Single,PhD,0
Car Loan,2645,0.053103403,15,Part-time,Medium,714,Male,Single,PhD,1
Car Loan,48523,0.074257742,47,Full-time,High,848,Female,Married,Master,0
Car Loan,20256,0.078144066,56,Self-employed,High,730,Male,Single,Bachelor,0
Personal Loan,54173,0.074034805,27,Part-time,Low,794,Male,Single,Bachelor,1
Home Loan,38430,0.062239542,36,Part-time,Low,399,Female,Single,High School,0
Car Loan,40282,0.074001514,25,Part-time,Low,322,Female,Divorced,Master,0
Car Loan,64374,0.084039421,22,Self-employed,Medium,719,Male,Single,Master,0
Home Loan,69244,0.079326605,40,Full-time,High,723,Female,Married,Master,0
Education Loan,12694,0.082737515,45,Self-employed,Low,786,Male,Divorced,PhD,0
Personal Loan,57264,0.069948272,33,Self-employed,Low,388,Male,Married,Master,0
Car Loan,76060,0.097575769,25,Self-employed,Medium,508,Female,Divorced,Bachelor,0
Education Loan,98416,0.0623574,35,Part-time,Low,570,Male,Divorced,High School,0
Education Loan,58545,0.087313404,50,Self-employed,High,705,Female,Divorced,Bachelor,0
Education Loan,40224,0.097728366,37,Part-time,High,577,Female,Married,Master,0
Car Loan,98945,0.087213621,54,Part-time,Low,505,Female,Single,High School,0
Car Loan,14224,0.076962137,47,Full-time,High,627,Female,Divorced,High School,0
Car Loan,41738,0.072075544,50,Full-time,Low,635,Male,Married,Master,1
Home Loan,26150,0.095541315,27,Self-employed,Low,337,Male,Divorced,Master,1
Car Loan,64731,0.058655376,49,Part-time,High,527,Male,Single,Bachelor,0
Personal Loan,50688,0.065448136,43,Part-time,High,782,Female,Divorced,Bachelor,0
Home Loan,74509,0.074036634,17,Full-time,Medium,433,Male,Married,PhD,0
Personal Loan,9577,0.098564806,45,Part-time,Medium,689,Female,Divorced,PhD,0
Education Loan,9070,0.085696515,19,Self-employed,Low,724,Male,Married,PhD,0
Home Loan,9666,0.065479314,41,Part-time,High,809,Female,Single,Master,0
Home Loan,58761,0.075345384,38,Self-employed,Low,726,Male,Single,Master,1
Home Loan,37368,0.070785153,18,Full-time,Medium,773,Male,Divorced,PhD,0
Personal Loan,7783,0.069353165,38,Full-time,Low,660,Female,Single,PhD,0
Personal Loan,42914,0.094683343,36,Part-time,High,510,Male,Married,Bachelor,0
Education Loan,71507,0.059423853,57,Part-time,High,478,Female,Divorced,PhD,0
Car Loan,80026,0.104131713,52,Full-time,Medium,357,Female,Married,PhD,1
Personal Loan,68526,0.092423445,26,Self-employed,Low,372,Male,Divorced,High School,0
Education Loan,71835,0.096362925,36,Self-employed,Low,514,Male,Married,PhD,1
Car Loan,46765,0.073055907,33,Self-employed,High,372,Male,Divorced,High School,0
Home Loan,20956,0.077750889,29,Full-time,Medium,766,Female,Married,PhD,0
Car Loan,88895,0.058502723,23,Full-time,High,570,Female,Married,High School,0
Personal Loan,47240,0.072130064,34,Full-time,High,798,Female,Divorced,PhD,0
Education Loan,38148,0.087404823,56,Part-time,Medium,653,Female,Married,Bachelor,0
Home Loan,95270,0.099440946,50,Full-time,High,533,Female,Single,Master,1
Home Loan,5757,0.063392648,36,Self-employed,Low,618,Female,Married,High School,0
Car Loan,20097,0.074517411,21,Self-employed,Low,318,Female,Divorced,Master,0
Car Loan,11395,0.077730512,41,Full-time,Low,671,Female,Single,Bachelor,1
Personal Loan,17241,0.059063162,21,Full-time,High,483,Female,Single,PhD,0
Home Loan,28696,0.088870239,45,Self-employed,Medium,576,Male,Married,PhD,0
Car Loan,71480,0.069140145,57,Full-time,Medium,444,Female,Married,Bachelor,1
Home Loan,47163,0.077069145,24,Part-time,Medium,380,Female,Married,Master,0
Education Loan,20816,0.073220759,40,Full-time,Medium,621,Male,Single,Master,0
Education Loan,50840,0.068159922,49,Self-employed,Medium,734,Male,Single,Master,0
Personal Loan,53853,0.079894325,52,Self-employed,High,342,Female,Single,Master,0
Home Loan,25917,0.076765856,56,Full-time,Medium,612,Male,Divorced,High School,0
Car Loan,97731,0.074422132,20,Self-employed,Low,592,Male,Divorced,Master,0
Education Loan,22566,0.069073076,24,Full-time,High,368,Female,Married,High School,0
Education Loan,76452,0.08479287,48,Self-employed,Low,355,Female,Divorced,Bachelor,0
Personal Loan,63823,0.104804259,25,Self-employed,Medium,503,Male,Divorced,PhD,0
Education Loan,21806,0.082098308,48,Self-employed,Medium,719,Female,Married,High School,1
Personal Loan,76520,0.094941773,20,Full-time,Low,849,Male,Married,Master,0
Home Loan,2759,0.059146671,19,Full-time,Low,542,Female,Single,PhD,1
Car Loan,42949,0.082366422,50,Full-time,High,500,Female,Single,High School,0
Home Loan,93374,0.063539475,51,Part-time,Medium,773,Male,Married,PhD,0
Home Loan,3482,0.057846126,14,Part-time,Medium,826,Male,Married,Bachelor,1
Home Loan,25442,0.068909429,58,Part-time,Medium,376,Male,Divorced,Master,0
Car Loan,34719,0.09787849,51,Self-employed,Low,777,Male,Divorced,Bachelor,0
Home Loan,59066,0.094250237,44,Self-employed,Medium,739,Male,Divorced,PhD,1
Home Loan,94501,0.083645071,43,Full-time,High,562,Female,Married,Bachelor,0
Personal Loan,3079,0.057009492,18,Self-employed,High,484,Female,Married,Master,0
Personal Loan,3717,0.07705579,30,Part-time,Low,354,Male,Single,High School,1
Personal Loan,60676,0.0845255,45,Part-time,Low,607,Male,Divorced,Bachelor,0
Car Loan,28952,0.082633043,25,Full-time,High,815,Male,Single,Master,0
Education Loan,87444,0.052343096,58,Self-employed,Low,598,Female,Married,PhD,0
Education Loan,43460,0.066645232,57,Self-employed,Low,529,Female,Divorced,Bachelor,1
Home Loan,91397,0.079038834,30,Part-time,Medium,676,Male,Single,High School,0
Education Loan,73847,0.088044364,37,Full-time,High,585,Female,Married,Bachelor,1
Home Loan,94607,0.047058083,28,Part-time,Medium,437,Female,Single,PhD,0
Personal Loan,90106,0.07756814,39,Self-employed,High,777,Male,Divorced,PhD,0
Home Loan,19449,0.082145732,30,Part-time,Medium,306,Male,Single,PhD,0
Car Loan,34536,0.09274418,38,Part-time,High,718,Female,Single,Bachelor,0
Education Loan,65077,0.090392864,59,Self-employed,High,771,Female,Married,Bachelor,0
Home Loan,39258,0.08873857,30,Self-employed,High,719,Female,Divorced,Bachelor,0
Personal Loan,49302,0.068000892,44,Self-employed,Low,575,Female,Single,High School,0
Car Loan,29865,0.051379968,18,Part-time,Medium,389,Female,Married,Master,0
Home Loan,7645,0.074104209,40,Part-time,Low,581,Male,Divorced,Bachelor,1
Home Loan,39000,0.095024477,54,Part-time,Low,847,Female,Married,High School,0
Home Loan,27737,0.100901818,16,Full-time,High,470,Male,Divorced,PhD,0
Car Loan,12485,0.090658237,41,Full-time,High,654,Male,Married,Bachelor,0
Home Loan,39565,0.086440112,54,Self-employed,Low,503,Female,Married,Bachelor,0
Personal Loan,26522,0.085694595,19,Full-time,Low,588,Male,Married,Bachelor,1
Personal Loan,66155,0.071658219,53,Self-employed,Low,761,Female,Single,High School,0
Personal Loan,56168,0.078049096,23,Part-time,High,472,Male,Single,Bachelor,0
Personal Loan,53487,0.105036043,53,Self-employed,High,600,Female,Married,Bachelor,0
Car Loan,13342,0.06586163,24,Part-time,High,828,Male,Divorced,Master,0
Personal Loan,41806,0.104221682,37,Self-employed,Medium,439,Female,Married,High School,0
Personal Loan,49770,0.075169578,29,Full-time,Low,577,Female,Single,Master,0
Education Loan,79623,0.099881482,53,Part-time,Low,810,Male,Divorced,Master,0
Personal Loan,76629,0.058897775,31,Part-time,Medium,645,Male,Single,Master,0
Car Loan,53603,0.088788563,27,Part-time,Low,439,Male,Married,Master,0
Education Loan,82974,0.068948448,48,Full-time,Low,413,Female,Single,PhD,0
Education Loan,27399,0.058770992,14,Full-time,Low,806,Male,Single,Bachelor,0
Car Loan,86382,0.083278011,38,Full-time,Medium,665,Male,Single,Master,0
Education Loan,82244,0.095142077,26,Part-time,Medium,696,Female,Married,High School,0
Home Loan,77534,0.067325878,45,Self-employed,Low,410,Female,Single,Bachelor,0
Personal Loan,56106,0.057514761,56,Self-employed,High,657,Male,Married,Master,0
Home Loan,31678,0.078622329,33,Full-time,Low,537,Male,Married,Master,0
Car Loan,77218,0.07868847,51,Self-employed,Low,302,Female,Single,High School,1
Home Loan,64230,0.088224794,34,Part-time,High,703,Female,Divorced,PhD,0
Car Loan,75055,0.094243919,15,Part-time,Low,324,Female,Single,High School,1
Home Loan,57373,0.079108772,52,Full-time,Low,808,Male,Single,PhD,1
Personal Loan,32480,0.10783255,34,Full-time,Medium,764,Male,Single,PhD,0
Car Loan,86230,0.083363521,58,Self-employed,Low,360,Female,Divorced,PhD,0
Car Loan,69836,0.074803602,20,Self-employed,High,807,Female,Divorced,Master,0
Car Loan,73258,0.05582649,35,Self-employed,Medium,422,Female,Married,Master,0
Education Loan,40986,0.076060107,32,Full-time,Medium,796,Male,Divorced,PhD,0
Personal Loan,25160,0.074954196,52,Full-time,High,354,Male,Divorced,PhD,0
Education Loan,86595,0.094404572,57,Full-time,High,462,Male,Single,Master,0
Education Loan,80111,0.086937254,27,Part-time,Medium,338,Male,Married,PhD,0
Personal Loan,65929,0.062309463,36,Self-employed,Low,382,Female,Married,Master,0
Car Loan,74506,0.082583816,37,Full-time,Low,845,Female,Divorced,PhD,0
Education Loan,35911,0.090072968,56,Full-time,Medium,412,Male,Divorced,Master,1
Education Loan,88127,0.10292047,20,Full-time,Low,724,Female,Single,High School,0
Car Loan,32821,0.09331256,26,Self-employed,Medium,529,Female,Divorced,PhD,1
Personal Loan,76039,0.0914127,50,Self-employed,High,582,Male,Divorced,PhD,0
Personal Loan,61535,0.08090129,44,Part-time,Low,586,Female,Married,High School,0
Personal Loan,85458,0.08582468,12,Part-time,Low,454,Male,Divorced,Bachelor,0
Education Loan,13175,0.098742574,16,Part-time,Medium,464,Male,Single,PhD,1
Personal Loan,55771,0.060008339,20,Part-time,Medium,481,Male,Married,Bachelor,0
Personal Loan,87925,0.07475841,55,Full-time,Low,538,Female,Married,High School,1
Education Loan,67358,0.068411469,17,Part-time,Low,638,Male,Divorced,PhD,0
Personal Loan,18327,0.085687297,39,Full-time,Low,811,Female,Single,Bachelor,0
Home Loan,48057,0.098453333,56,Full-time,High,565,Female,Married,PhD,0
Personal Loan,7150,0.071045386,37,Self-employed,Low,486,Male,Single,PhD,0
Personal Loan,5425,0.044145434,39,Full-time,Low,339,Male,Single,Master,1
Car Loan,17032,0.073816689,51,Self-employed,Medium,792,Male,Divorced,Bachelor,0
Education Loan,3198,0.093702106,26,Part-time,High,690,Male,Single,Master,0
Car Loan,61500,0.088064449,17,Part-time,Medium,559,Male,Married,Master,0
Home Loan,54394,0.086422794,38,Self-employed,Low,475,Female,Divorced,Bachelor,1
Personal Loan,21079,0.0758001,49,Self-employed,High,628,Female,Married,Bachelor,0
Car Loan,37220,0.060814539,15,Part-time,Low,499,Female,Single,Master,0
Car Loan,42874,0.087729415,22,Full-time,High,495,Male,Single,PhD,1
Home Loan,14859,0.067485773,32,Full-time,High,830,Male,Divorced,PhD,1
Personal Loan,51460,0.112761451,41,Self-employed,High,361,Female,Divorced,High School,0
Car Loan,32419,0.088557608,29,Full-time,High,626,Male,Married,PhD,1
Personal Loan,9705,0.071290275,46,Full-time,High,580,Female,Married,Bachelor,0
Home Loan,43880,0.070829221,14,Part-time,High,526,Female,Single,Bachelor,0
Home Loan,24236,0.078605837,23,Self-employed,Medium,357,Female,Divorced,High School,0
Personal Loan,88955,0.076407471,38,Part-time,Medium,776,Male,Single,Bachelor,0
Home Loan,86514,0.096752507,41,Full-time,Low,675,Male,Single,Master,0
Education Loan,16358,0.082796243,32,Full-time,High,542,Female,Married,High School,0
Car Loan,95914,0.069025524,49,Part-time,High,666,Male,Married,High School,0
Education Loan,77918,0.10835661,32,Full-time,Medium,799,Male,Married,PhD,0
Education Loan,15596,0.080739625,49,Full-time,Low,551,Male,Divorced,PhD,0
Home Loan,34572,0.091532595,51,Part-time,Low,621,Female,Married,Master,1
Home Loan,79757,0.070876602,26,Full-time,Medium,675,Female,Divorced,Master,0
Personal Loan,2279,0.085446734,29,Part-time,Medium,708,Female,Single,PhD,0
Education Loan,64197,0.08466665,40,Self-employed,High,787,Female,Divorced,PhD,0
Car Loan,63516,0.051655261,59,Full-time,Medium,642,Female,Married,Master,0
Personal Loan,8083,0.110229127,49,Full-time,High,539,Male,Divorced,PhD,0
Personal Loan,18771,0.099359667,32,Part-time,Low,438,Female,Divorced,High School,0
Personal Loan,30975,0.07404207,28,Self-employed,High,421,Male,Married,Master,0
Home Loan,46648,0.063465954,52,Full-time,Medium,719,Female,Married,PhD,0
Home Loan,49285,0.085213424,29,Full-time,High,603,Male,Single,Bachelor,0
Personal Loan,20063,0.081300465,48,Self-employed,High,414,Male,Divorced,Bachelor,0
Home Loan,68642,0.085335034,49,Full-time,Medium,642,Female,Single,Master,0
Home Loan,91093,0.082873661,23,Part-time,High,550,Male,Single,Bachelor,0
Personal Loan,87143,0.087593615,22,Self-employed,Low,306,Male,Divorced,Bachelor,0
Car Loan,38599,0.101709585,59,Self-employed,High,478,Male,Single,High School,1
Car Loan,52920,0.088521548,31,Full-time,Medium,444,Male,Divorced,Master,0
Home Loan,29529,0.064255168,20,Self-employed,Medium,715,Male,Single,Bachelor,0
Car Loan,36954,0.100438443,12,Self-employed,Medium,420,Male,Single,PhD,0
Car Loan,28856,0.104609218,14,Self-employed,High,423,Female,Divorced,Master,0
Home Loan,3573,0.127280851,32,Full-time,Low,449,Male,Married,Master,1
Car Loan,79344,0.06314759,34,Self-employed,Medium,696,Female,Divorced,Bachelor,0
Home Loan,36367,0.08364323,20,Full-time,Medium,680,Male,Married,Bachelor,0
Education Loan,61774,0.048768519,30,Self-employed,Low,300,Male,Divorced,High School,0
Personal Loan,24752,0.088297237,56,Part-time,Medium,543,Male,Divorced,PhD,0
Car Loan,56029,0.071776996,57,Self-employed,High,697,Male,Married,High School,1
Personal Loan,18685,0.108851687,30,Self-employed,Medium,550,Male,Married,High School,1
Personal Loan,52693,0.068380775,34,Self-employed,Medium,598,Male,Divorced,PhD,0
Home Loan,56961,0.054662254,38,Part-time,High,596,Male,Divorced,Bachelor,0
Car Loan,77908,0.072931044,38,Self-employed,Low,799,Male,Divorced,High School,1
Car Loan,75532,0.050367683,50,Part-time,Low,414,Female,Married,Master,0
Education Loan,82994,0.091266492,47,Part-time,Medium,300,Female,Divorced,High School,0
Car Loan,57133,0.049023754,23,Part-time,High,781,Female,Married,PhD,0
Car Loan,98425,0.080426864,38,Full-time,High,809,Female,Single,High School,0
Home Loan,62268,0.048832823,57,Full-time,Low,634,Male,Married,High School,0
Personal Loan,93201,0.075195533,45,Part-time,Low,764,Male,Single,Master,0
Education Loan,39243,0.104650672,44,Full-time,Low,440,Male,Divorced,PhD,0
Car Loan,58384,0.085409718,39,Part-time,High,436,Female,Divorced,Master,0
Car Loan,32653,0.067047596,42,Full-time,High,466,Female,Married,Bachelor,1
